ticker,source_index,geo
ASML.AS,aex,EU
ASND,nasdaq,US
ASO,nasdaq,US
ASPI,nasdaq,US
ASR,nyse,US
ASSA-B.ST,omxs30,EU
ASST,nasdaq,US
ASTE,nasdaq,US
ASTH,nasdaq,US
ASTS,nasdaq,US
ASX,nyse,US
ATAT,nasdaq,US
ATCO-A.ST,omxs30,EU
ATEC,nasdaq,US
ATEN,nyse,US
ATEX,nasdaq,US
ATHM,nyse,US
ATHS,nyse,US
ATI,nyse,US
ATK.L,ftse250,EU
ATKR,nyse,US
ATLC,nasdaq,US
ATLCP,nasdaq,US
ATMU,nyse,US
ATNI,nasdaq,US
ATO,nyse,US
ATO.PA,cac40,EU
ATR,nyse,US
ATRC,nasdaq,US
ATRO,nasdaq,US
ATS,nyse,US
AU,nyse,US
AUB,nyse,US
AUGO,nasdaq,US
AUNA,nyse,US
AUPH,nasdaq,US
AURA,nasdaq,US
AUTO.L,ftse100,EU
AV.L,ftse100,EU
AVA,nyse,US
AVAH,nasdaq,US
AVAV,nasdaq,US
AVB,nyse,US
AVBC,nyse,US
AVBH,nasdaq,US
AVBP,nasdaq,US
AVGO,nasdaq,US
AVNS,nyse,US
AVNT,nyse,US
AVO,nasdaq,US
AVON.L,ftse250,EU
AVPT,nasdaq,US
AVR,nasdaq,US
AVT,nasdaq,US
AVTR,nyse,US
AVTX,nasdaq,US
AVY,nyse,US
AWI,nyse,US
AWK,nyse,US
AWR,nyse,US
AX,nyse,US
AXGN,nasdaq,US
AXIA,nyse,US
AXON,nasdaq,US
AXP,nyse,US
AXS,nyse,US
AXSM,nasdaq,US
AXTA,nyse,US
AXTI,nasdaq,US
AYI,nyse,US
AZM.MI,ftsemib,EU
AZN,nyse,US
AZN.L,ftse100,EU
AZN.ST,omxs30,EU
AZO,nyse,US
AZTA,nasdaq,US
AZZ,nyse,US
B,nyse,US
BA,nyse,US
BA.L,ftse100,EU
BABA,nyse,US
BAC,nyse,US
BAH,nyse,US
BAKK.L,ftse250,EU
BAKKA.OL,obx,EU
BALL,nyse,US
BALY,nyse,US
BAM,nyse,US
BAMI.MI,ftsemib,EU
BANC,nyse,US
BAND,nasdaq,US
BANF,nasdaq,US
BANFP,nasdaq,US
BANR,nasdaq,US
BAP,nyse,US
BARC.L,ftse100,EU
BAS.DE,dax,EU
BATRA,nasdaq,US
BATRK,nasdaq,US
BAVA.CO,omxc25,EU
BAX,nyse,US
BAYN.DE,dax,EU
BBAR,nyse,US
BBBY,nyse,US
BBCP,nasdaq,US
BBDC,nyse,US
BBIO,nasdaq,US
BBNX,nasdaq,US
BBOT,nasdaq,US
BBOX.L,ftse250,EU
BBSI,nasdaq,US
BBT,nyse,US
BBUC,nyse,US
BBVA,nyse,US
BBVA.MC,ibex35,EU
